sample,origin,clone,subclone,subclone2,trans_site,rope,loc_grtn,age,age2,grtn,loc,bw_in,bw_fin,bw_chg,len_in,len_fin,len_chg,avg_len_chg,len_ct
B52,M2,Orange,CN_63,V31,R,Y705,away_early,7y,7,early,away,NA,NA,NA,4.6,6.11,1.51,,0.33
B47,M2,Orange,CN_63,V31,R,Y702,away_early,7y,7,early,away,NA,NA,NA,3.53,2.05,-1.48,0.015,-0.42
B56,M2,Orange,CN_W147,V9,R,Y706,away_late,4y,4,late,away,NA,NA,NA,3.87,5.46,1.59,,0.41
B75,M2,Orange,CN_W147,V9,R,Y701,away_late,4y,4,late,away,NA,NA,NA,3.4,8.18,4.78,3.185,1.41
B84,M2,Orange,CN_W073,V6,R,Y704,away_early,7y,7,early,away,NA,NA,NA,6.4,1.45,-4.95,,-0.77
B30,M2,Orange,CN_W073,V6,R,Y707,away_early,7y,7,early,away,NA,NA,NA,6.2,4.66,-1.54,-3.245,-0.25
B46,M2,Pink,CN_R069,V2,R,Y702,away_early,5y,5,early,away,NA,NA,NA,3.25,2.71,-0.54,,-0.17
B70,M2,Pink,CN_R069,V2,R,Y705,away_early,5y,5,early,away,NA,NA,NA,NA,NA,NA,-0.54,
B34,M2,Pink,CN_R048,V28,R,Y701,away_early,5y,5,early,away,NA,NA,NA,4.98,3.91,-1.07,,-0.21
B68,M2,Pink,CN_R048,V28,R,Y703,away_early,5y,5,early,away,NA,NA,NA,5.25,1.5,-3.75,-2.41,-0.71
B57,M2,Red,CN_R096,V4,R,Y707,away_late,4y,4,late,away,NA,NA,NA,3.69,4.14,0.45,,0.12
B90,M2,Red,CN_R096,V4,R,Y702,away_late,4y,4,late,away,NA,NA,NA,3.88,3.41,-0.47,-0.01,-0.12
B91,M2,Brown,CN_60,V13,R,Y705,away_early,7y,7,early,away,NA,NA,NA,5.51,5.56,0.05,,0.01
B42,M2,Brown,CN_60,V13,R,Y706,away_early,7y,7,early,away,NA,NA,NA,5.57,7.7,2.13,1.09,0.38
B59,M2,Red,CN_B6,V10,R,Y701,away_late,3y,3,late,away,NA,NA,NA,3.22,1.75,-1.47,,-0.46
B48,M2,Red,CN_B6,V10,R,Y707,away_late,3y,3,late,away,NA,NA,NA,3.64,2.55,-1.09,-1.28,-0.3
B74,M2,Purple,CN_B1,V5,R,Y706,away_late,3y,3,late,away,NA,NA,NA,7.34,6.66,-0.68,,-0.09
B83,M2,Purple,CN_B1,V5,R,Y705,away_late,3y,3,late,away,NA,NA,NA,3.34,4.73,1.39,0.355,0.42
B79,M2,Purple,CN_203,V26,R,Y707,away_early,7y,7,early,away,NA,NA,NA,5.15,2.46,-2.69,,-0.52
B33,M2,Purple,CN_203,V26,R,Y701,away_early,7y,7,early,away,NA,NA,NA,5,5.12,0.12,-1.285,0.02
B61,M2,Pink,CN_R049,V14,R,Y703,away_early,5y,5,early,away,NA,NA,NA,3.14,2.61,-0.53,-0.53,-0.17
B53,M2,Orange,CN_R081,V17,R,Y702,away_early,5y,5,early,away,NA,NA,NA,3.57,2.45,-1.12,-1.12,-0.31
B55,M2,Blue,CN_R002,V27,R,Y704,away_early,5y,5,early,away,NA,NA,NA,3.23,2.39,-0.84,-0.84,-0.26
B14,M1,Green,I_177,V7,R,Y701,away_early,7y,7,early,away,NA,NA,NA,3.59,NA,NA,,
B37,M1,Green,I_177,V7,R,Y704,away_early,7y,7,early,away,NA,NA,NA,5.96,1.59,-4.37,,-0.73
B87,M1,Green,I_177,V7,R,Y702,away_early,7y,7,early,away,NA,NA,NA,3.66,3.67,0.01,-2.18,0
